**solved in this iteration:**
inputs\large-231.in did not give valid solution
inputs\large-233.in did not give valid solution
inputs\large-236.in did not give valid solution
inputs\large-24.in did not give valid solution
inputs\large-240.in did not give valid solution
inputs\large-242.in did not give valid solution
inputs\large-3.in did not give valid solution
inputs\large-34.in did not give valid solution
inputs\large-35.in did not give valid solution
inputs\large-38.in did not give valid solution
inputs\large-39.in did not give valid solution
inputs\large-4.in did not give valid solution
inputs\large-41.in did not give valid solution
inputs\large-42.in did not give valid solution
inputs\large-45.in did not give valid solution
inputs\large-46.in did not give valid solution
inputs\large-47.in did not give valid solution
inputs\large-50.in did not give valid solution
inputs\large-51.in did not give valid solution
inputs\large-54.in did not give valid solution
inputs\large-57.in did not give valid solution
inputs\large-58.in did not give valid solution
inputs\large-61.in did not give valid solution
inputs\large-63.in did not give valid solution
inputs\large-65.in did not give valid solution
inputs\large-66.in did not give valid solution
inputs\large-67.in did not give valid solution
inputs\large-68.in did not give valid solution
inputs\large-7.in did not give valid solution
inputs\large-74.in did not give valid solution
inputs\large-79.in did not give valid solution
inputs\large-8.in did not give valid solution
inputs\large-81.in did not give valid solution
inputs\large-84.in did not give valid solution
inputs\large-85.in did not give valid solution
inputs\large-86.in did not give valid solution
inputs\large-87.in did not give valid solution
inputs\large-89.in did not give valid solution
inputs\large-90.in did not give valid solution
inputs\large-97.in did not give valid solution
**skipped coz exists:**
**total solved in this iteration**136
**total unsolved in this iteration**100
**total skipped coz exists in this iteration**0
